Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,Waltham,Massachusetts,United States of America,,0000101829,1922,80.32,84.35,92.97,55.82,61.92
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,Jacksonville,Florida,United States of America,2017-03-02,0000910606,,64.35,67.07,61.86,35.8,45.82
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,Tarrytown,New York,United States of America,2013-05-01,0000872589,,317.61,277.27,378.0,484.14,610.87
RF,Regions Financial Corp.,reports,Financials,Regional Banks,Birmingham,Alabama,United States of America,1998-08-28,0001281761,,14.39,15.44,16.86,8.25,10.86
RMD,ResMed,reports,Health Care,Health Care Equipment,San Diego,California,United States of America,2017-07-26,0000943819,,121.92,134.15,154.69,140.4,188.32
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,Menlo Park,California,United States of America,2000-12-05,0000315213,,56.42,55.24,62.64,35.93,51.83
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,Milwaukee,Wisconsin,United States of America,,0001024478,,162.37,163.7,201.7,142.2,208.67
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,Atlanta,Georgia,United States of America,2018-10-01,0000084839,1948,35.77,33.98,33.08,35.13,41.63
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,Sarasota,Florida,United States of America,2009-12-23,0000882835,,367.43,355.88,352.39,297.28,385.14
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,Dublin,California,United States of America,2009-12-21,0000745732,,99.76,109.79,116.12,82.3,85.24
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Miami,Florida,United States of America,2014-12-05,0000884887,,119.23,106.49,133.23,30.3,50.3
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,New York,New York,United States of America,,0000064040,,228.56,243.09,273.35,233.46,321.29
CRM,Salesforce.com,reports,Information Technology,Application Software,San Francisco,California,United States of America,2008-09-15,0001108524,,154.57,149.49,163.92,138.32,183.33
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,Boca Raton,Florida,United States of America,2017-09-01,0001034054,,226.08,239.7,240.38,257.89,289.18
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,Curaçao,Curaçao,Netherlands,1965-03-31,0000087347,1926,38.42,33.17,39.66,13.0,18.01
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Dublin,Leinster,Ireland,2012-07-02,0001137789,,46.31,51.9,58.11,46.78,47.76
SEE,Sealed Air,reports,Materials,Paper Packaging,Charlotte,North Carolina,United States of America,,0001012100,1960,42.47,41.18,39.64,23.62,32.48
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,San Diego,California,United States of America,,0001032208,1998,132.18,143.73,148.48,107.41,118.12
NOW,ServiceNow,reports,Information Technology,Systems Software,Santa Clara,California,United States of America,2019-11-21,0001373715,2003,281.99,255.32,284.96,274.39,394.55
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,Cleveland,Ohio,United States of America,1964-06-30,0000089800,1866,457.37,547.34,582.17,438.87,566.0
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,Indianapolis,Indiana,United States of America,2002-06-26,0001063761,2003,150.9,148.47,144.24,49.75,66.78
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,Woburn,Massachusetts,United States of America,2015-03-12,0000004127,,81.75,78.84,121.06,85.99,126.0
SLG,SL Green Realty,reports,Real Estate,Office REITs,New York,New York,United States of America,2015-03-20,0001040971,,77.42,78.33,90.08,39.31,50.08
SNA,Snap-on,reports,Industrials,Industrial Machinery,Kenosha,Wisconsin,United States of America,1982-09-30,0000091440,1920,161.05,154.38,167.87,103.16,136.1
SO,Southern Company,reports,Utilities,Electric Utilities,Atlanta,Georgia,United States of America,,0000092122,1945,52.86,59.74,62.35,51.29,51.56
LUV,Southwest Airlines,reports,Industrials,Airlines,Dallas,Texas,United States of America,1994-07-01,0000092380,,50.66,53.91,54.17,34.05,35.04
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,New Britain,Connecticut,United States of America,1982-09-30,0000093556,,144.09,143.18,165.44,93.64,136.12
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,Seattle,Washington,United States of America,,0000829224,1971,83.02,87.29,87.22,62.65,73.48
STE,STERIS plc,reports,Health Care,Health Care Equipment,Dublin,Leinster,Ireland,2019-12-23,0001757898,1985,148.58,143.77,151.89,134.9,149.68
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,Kalamazoo,Michigan,United States of America,2000-12-12,0000310764,,205.15,214.42,209.48,152.99,177.52
SIVB,SVB Financial,reports,Financials,Regional Banks,Santa Clara,California,United States of America,2018-03-19,0000719739,,227.56,212.07,252.65,142.07,206.89
SYF,Synchrony Financial,reports,Financials,Consumer Finance,Stamford,Connecticut,United States of America,2015-11-18,0001601712,2003,33.9,33.51,35.5,14.8,21.95
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,Mountain View,California,United States of America,2017-03-16,0000883241,,131.4,137.53,140.31,122.88,189.72
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,Houston,Texas,United States of America,1986-12-31,0000096021,,68.53,77.26,83.45,41.19,53.97
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,Bellevue,Washington,United States of America,2019-07-15,0001283699,1994,74.67,78.88,78.88,82.99,105.96
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,Baltimore,Maryland,United States of America,,0001113169,1937,108.18,111.44,120.23,92.94,120.82
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,New York,New York,United States of America,2018-03-19,0000946581,,115.0,125.2,123.53,115.52,137.79
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,New York,United States of America,,0001116132,2017,30.93,25.46,26.78,12.0,13.35
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,Minneapolis,Minnesota,United States of America,1976-12-31,0000027419,,85.43,105.53,127.34,91.16,118.57
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,Schaffhausen,Schaffhausen,Switzerland,2011-10-17,0001385157,,94.97,92.42,95.78,59.94,80.6
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,London,London,United Kingdom,2009-06-05,0001681459,2017 (1958),25.46,23.37,21.01,6.58,6.8
TFX,Teleflex,reports,Health Care,Health Care Equipment,Wayne,Pennsylvania,United States of America,2019-01-18,0000096943,1943,332.65,339.33,376.01,281.45,355.44
TXN,Texas Instruments,reports,Information Technology,Semiconductors,Dallas,Texas,United States of America,,0000097476,1930,114.3,127.11,127.21,95.35,124.77
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,Providence,Rhode Island,United States of America,1978-12-31,0000217346,,53.63,49.29,44.99,24.99,33.37
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,Waltham,Massachusetts,United States of America,,0000097745,2006 (1902),298.34,291.19,325.53,276.33,350.8
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,New York,United States of America,2000-06-21,0000098246,,93.47,91.76,132.4,127.14,120.31
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,Framingham,Massachusetts,United States of America,1985-09-30,0000109198,,52.85,55.52,61.1,44.28,50.77
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,Brentwood,Tennessee,United States of America,2014-01-24,0000916365,,108.42,90.86,93.06,82.43,131.61
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,Cleveland,Ohio,United States of America,2016-06-03,0001260221,,437.47,493.26,560.8,302.58,443.76
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,New York,New York,United States of America,2002-08-21,0000086312,,147.22,146.41,135.71,94.13,112.9
TFC,Truist Financial,reports,Financials,Regional Banks,Charlotte,North Carolina,United States of America,1997-12-04,0000092230,,47.56,52.01,55.15,28.19,36.74
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,San Francisco,California,United States of America,2018-06-07,0001418091,,35.5,41.32,32.31,23.7,29.49
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,Springdale,Arkansas,United States of America,,0000100493,1935,79.43,84.09,89.94,56.02,59.26
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,Highlands Ranch,Colorado,United States of America,2016-03-07,0000074208,,43.35,46.74,45.45,33.93,36.43
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,Bolingbrook,Illinois,United States of America,2016-04-18,0001403568,1990,350.55,253.45,254.32,167.94,198.63
USB,U.S. Bancorp,reports,Financials,Diversified Banks,Minneapolis,Minnesota,United States of America,,0000036104,1968,50.95,53.94,58.09,32.15,36.35
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Baltimore,Maryland,United States of America,2014-05-01,0001336917,,25.81,20.01,21.83,8.78,9.83
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Baltimore,Maryland,United States of America,2016-04-08,0001336917,,22.58,18.18,19.35,7.66,8.88
UNP,Union Pacific Corp,reports,Industrials,Railroads,Omaha,Nebraska,United States of America,,0000100885,1862,167.2,160.14,178.89,133.28,165.51
UAL,United Airlines Holdings,reports,Industrials,Airlines,Chicago,Illinois,United States of America,2015-09-03,0000100517,1967,88.84,89.15,89.57,29.51,35.27
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,Minnetonka,Minnesota,United States of America,1994-07-01,0000731766,,241.77,216.48,291.46,237.67,289.76
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,Atlanta,Georgia,United States of America,2002-07-22,0001090727,1907,100.83,116.92,115.32,89.97,109.48
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,Stamford,Connecticut,United States of America,2014-09-20,0001067701,1997,136.0,125.83,168.41,96.94,147.72
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,King of Prussia,Pennsylvania,United States of America,2014-09-20,0000352915,,130.6,148.02,144.04,93.91,92.27
UNM,Unum Group,reports,Financials,Life & Health Insurance,Chattanooga,Tennessee,United States of America,1994-03-01,0000005513,,32.43,28.83,28.51,13.71,16.09
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Greensboro,North Carolina,United States of America,1979-06-30,0000103379,,86.26,87.36,98.29,50.76,60.36
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,San Antonio,Texas,United States of America,,0001035002,1980,82.83,82.59,92.08,41.43,56.95
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,Palo Alto,California,United States of America,2007-02-12,0000203527,,137.5,119.42,143.5,97.92,120.42
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,Dulles,Virginia,United States of America,2006-02-01,0001014473,,211.6,187.58,194.91,173.43,204.1
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,Jersey City,New Jersey,United States of America,2015-10-08,0001442145,1971,146.53,157.52,148.77,134.0,164.34
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,New York,New York,United States of America,1983-11-30,0000732712,,54.45,57.88,59.43,51.36,54.08
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,Cambridge,Massachusetts,United States of America,2013-09-23,0000875320,,185.07,169.24,220.24,232.12,285.18
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,San Francisco,California,United States of America,2009-12-21,0001403161,,174.24,172.19,188.41,156.06,191.38
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,New York,New York,United States of America,,0000899689,1982,59.88,59.69,64.92,33.59,38.58
VMC,Vulcan Materials,reports,Materials,Construction Materials,Birmingham,Alabama,United States of America,1999-06-30,0001396009,,137.27,150.11,144.14,103.85,116.02
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,Greenwich,Connecticut,United States of America,2019-12-05,0000011544,1967,65.21,71.34,69.22,49.56,56.48
WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,Wilmerding,Pennsylvania,United States of America,2019-02-27,0000943452,1999 (1869),72.0,71.84,78.29,45.84,57.35
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,Bentonville,Arkansas,United States of America,1982-08-31,0000104169,,109.29,117.28,117.82,111.66,119.06
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,Deerfield,Illinois,United States of America,1979-12-31,0001618921,2014,53.38,53.77,58.11,44.56,42.32
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,Burbank,California,United States of America,1976-06-30,0001001039,,138.75,130.02,145.29,93.5,111.52
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,Houston,Texas,United States of America,,0000823768,1968,113.99,113.54,113.01,89.7,103.56
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,Milford,Massachusetts,United States of America,,0001000697,1958,218.61,224.43,234.93,176.58,176.62
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,Milwaukee,Wisconsin,United States of America,2008-10-31,0000783325,,81.03,92.96,91.14,84.33,86.97
WFC,Wells Fargo,reports,Financials,Diversified Banks,San Francisco,California,United States of America,1976-06-30,0000072971,,45.48,48.65,52.22,26.48,25.7
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,Toledo,Ohio,United States of America,2009-01-30,0000766704,,78.47,87.11,80.06,42.25,51.26
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,Exton,Pennsylvania,United States of America,2020-05-22,0000105770,,125.46,142.18,149.96,149.13,220.13
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Irvine,California,United States of America,2009-07-01,0000106040,,48.92,58.3,63.37,39.19,41.99
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,Englewood,Colorado,United States of America,,0001365135,1851,19.35,22.59,26.37,17.31,21.3
WRK,WestRock,reports,Materials,Paper Packaging,Richmond,Virginia,United States of America,,0001636023,2015,35.73,35.62,43.43,26.75,27.75
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,Federal Way,Washington,United States of America,,0000106535,1900,25.55,27.05,29.85,15.87,22.18
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,Benton Harbor,Michigan,United States of America,,0000106640,1911,139.27,153.95,145.93,79.07,127.15
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,Tulsa,Oklahoma,United States of America,1975-03-31,0000107263,,26.23,22.72,22.88,13.48,18.37
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,London,London,United Kingdom,2016-01-05,0001140536,,191.1,192.25,201.34,161.56,192.93
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,Paradise,Nevada,United States of America,2008-11-14,0001174922,,127.0,107.11,140.88,56.91,74.22
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,Minneapolis,Minnesota,United States of America,,0000072903,1909,58.17,63.5,62.72,57.97,62.46
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals",Norwalk,Connecticut,United States of America,,0000108772,1906,34.51,29.1,36.01,17.45,15.3
XLNX,Xilinx,reports,Information Technology,Semiconductors,San Jose,California,United States of America,1999-11-08,0000743988,,120.35,93.12,98.29,75.19,91.96
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,White Plains,New York,United States of America,2011-11-01,0001524472,2011,83.52,79.3,78.6,61.72,64.26
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,Louisville,Kentucky,United States of America,1997-10-06,0001041061,,108.53,111.83,99.93,64.66,86.98
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,Lincolnshire,Illinois,United States of America,2019-12-23,0000877212,1969,214.09,207.61,259.03,177.56,252.05
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,Warsaw,Indiana,United States of America,2001-08-07,0001136869,,117.86,136.52,149.3,96.85,116.9
ZION,Zions Bancorp,reports,Financials,Regional Banks,Salt Lake City,Utah,United States of America,2001-06-22,0000109380,,44.79,43.64,51.38,25.58,33.05
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,Florham Park,New Jersey,United States of America,2013-06-21,0001555280,1952,113.67,124.45,131.65,113.75,131.98
